Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Laboratory 9076|Health and Human Services|Milk / Frozen Dessert Coliform|21-15(b)|8|8|||||6|6||8|8|0|0|||||
Laboratory 9178|Health and Human Services|Rabies Virus Typing - Molecular|21-15(b)|115|115|||||6|3||115|115|0|0|||||
Mobile Food Vendor License|Health and Human Services|Mobile Food Unit electronic monitoring system fee|20-38(b)(5)|206.46|200||Y|N||2|1||211.45|211.4592|4.99|0.024169331|||||
Mobile Food Vendor License|Health and Human Services|Mobile Food Unit Medallion|20-38(b)(2)|552.28|535||Y|N||2|1||565.65|565.6529|13.37|0.024208735|||||
Mobile Food Vendor License|Health and Human Services|Mobile Food Unit Medallion  Tech and Admin Fee|20-38(b)(2)|10.32|10||Y|N||2|1||10.56|10.5698|0.24|0.023255814|||||
Mobile Food Vendor License|Health and Human Services|Permit or medallion replacement|20-38(b)(3)|25.8|25||Y|N||2|1||26.42|26.4247|0.62|0.024031008|||||
Sidewalk Sales and Performances Permit|Health and Human Services|Food vendor permit, annual|40-264(1)|103.23|100|||||1|1||105.72|105.7296|2.49|0.024120895|||||
Sidewalk Sales and Performances Permit|Health and Human Services|Food vendor permit, monthly|40-264(2)|30.96|30|||||1|1||31.7|31.7096|0.74|0.023901809|||||
Sidewalk Sales and Performances Permit|Health and Human Services|Merchandise vendor or performer permit, annual|40-264(3)|51.61|50|||||1|1||52.85|52.8596|1.24|0.024026351|||||
Sidewalk Sales and Performances Permit|Health and Human Services|Merchandise vendor or performer permit, monthly|40-264(4)|10.32|10|||||1|1||10.56|10.5698|0.24|0.023255814|||||
Spec Food Permits|Health and Human Services|Frozen Dessert - Annual Permit|20-39(c)|113.55|110||Y|||1|1||116.29|116.2994|2.74|0.024130339|||||
Spec Food Permits|Health and Human Services|Frozen Dessert Pro Rated, Monthly|20-39(c)|9.29|9||Y|||1|1||9.51|9.5149|0.22|0.023681378|||||
Spec Food Permits|Health and Human Services|Frozen Dessert Pro Rated, Monthly - Minimum|20-39(c)|55.74|54||Y|||4|1||57.08|57.0896|1.34|0.024040187|||||
Spec Food Permits|Health and Human Services|Temporary food dealer permits - 10+ consecutive days [20-38(e)]|20-38(b)|619.38|600||Y|N||1|1||634.37|634.3776|14.99|0.024201621|||||
Spec Food Permits|Health and Human Services|Temporary food dealer permits - per day [20-38(e)]|20-38(b)|61.93|60||Y|N||1|1||63.42|63.4295|1.49|0.024059422|||||
Special Food Permits|Health and Human Services|Food establishment employee training |20-44(a)|10.32|10||Y|||1|1||10.56|10.5698|0.24|0.023255814|||||
Special Food Permits|Health and Human Services|Food service manager certificate - initial application|20-57(1)|61.93|60|||||1|1||63.42|63.4295|1.49|0.024059422|||||
Special Food Permits|Health and Human Services|Food service manager certificate - renewal application |20-57(1)|46.45|45|||||1|1||47.57|47.5747|1.12|0.024111948|||||
Special Food Permits|Health and Human Services|Food service manager certificate - replacement certification card|20-57(2)|25.8|25|||N||1|1||26.42|26.4247|0.62|0.024031008|||||
Special Food Permits|Health and Human Services|Food service manager certificate - technology and administrative fees|20-57(1)|10.32|10|||N||1|1||10.56|10.5698|0.24|0.023255814|||||
Special Food Permits|Health and Human Services|Food service manager certificate, without Certification training course - application and testing fee|20-63(b)|51.61|50|||N||1|1||52.85|52.8596|1.24|0.024026351|||||
Special Food Permits|Health and Human Services|Frozen Dessert Non-Profit Organization|20-39(c)|113.55|110||Y|||1|1||116.29|116.2994|2.74|0.024130339|||||
Special Food Permits|Health and Human Services|Frozen Dessert Permit, Replacement|20-39(d)|25.8|25||Y|||1|1||26.42|26.4247|0.62|0.024031008|||||
Special Food Permits|Health and Human Services|State accreditation reciprocal food service manager certificate - initial application|20-63(a)|25.8|25|||N||1|1||26.42|26.4247|0.62|0.024031008|||||
Special Food Permits Inspection|Health and Human Services|Required Reinspection|20-20(g)|87.74|85||Y|||3|1||89.86|89.8645|2.12|0.024162298|||||
Special Food Permits License|Health and Human Services|Certified Farmers Market License - 10 or More Vendors|20-193(a)|258.07|250||Y|||2|1||264.31|264.3189|6.24|0.024179486|||||
Special Food Permits License|Health and Human Services|Certified Farmers Market License - 1-9 Vendors|20-193(a)|154.84|150||Y|||2|1||158.58|158.5892|3.74|0.024153965|||||
Special Food Permits License|Health and Human Services|Certified Farmers Market License - Replacement|20-193(b)|25.8|25||Y|||2|1||26.42|26.4247|0.62|0.024031008|||||
Special Food Permits License|Health and Human Services|Farm Produce Business (peddler, stand) License|20-176(a)|103.23|100||Y|||2|1||105.72|105.7296|2.49|0.024120895|||||
Special Food Permits License|Health and Human Services|Farm Produce Business License Replacement|20-176(b)|25.8|25||Y|||2|1||26.42|26.4247|0.62|0.024031008|||||
Swimming Pools|Health and Human Services|Plan review fee - Facility [43-9(a)]|43-38(a)|139.36|135||Y|||4|1||142.73|142.7344|3.37|0.024181975|||||
Swimming Pools|Health and Human Services|Plan review fee - Residential pool or spa [43-9(a)]|43-38(a)|72.26|70||Y|||4|1||74|74.0097|1.74|0.024079712|||||
Swimming Pools Inspection|Health and Human Services|Preoperational facility inspection fee [43-9(g)]|43-38(a)|129.03|125||Y|||3|1||132.15|132.1543|3.12|0.024180423|||||
Swimming Pools Inspection|Health and Human Services|Reinspection fee [43-32(e)]|43-38(a)|170.32|165||Y|||3|1||174.44|174.4441|4.12|0.02418976|||||
Swimming Pools Permit|Health and Human Services|Aquatic operating permit [43-31(a)]|43-38(a)|139.36|135||Y|||1|1||142.73|142.7344|3.37|0.024181975|||||
Swimming Pools Permit|Health and Human Services|Late permit renewal fee [43-31(b)]|43-38(a)|51.61|50||Y|||1|1||52.85|52.8596|1.24|0.024026351|||||
Swimming Pools Permit|Health and Human Services|Replacement permit [43-31(a)]|43-38(a)|25.8|25||Y|||1|1||26.42|26.4247|0.62|0.024031008|||||
Transportation and treatment of certain wastes|Health and Human Services|Biological pretreatment service monthly report processing fee|47-478(b)|10.32|10||Y|||6|1||10.56|10.5698|0.24|0.023255814|||||
Transportation and treatment of certain wastes|Health and Human Services|Temporary transporter permit application (original and renewal) review|47-434|46.45|45||Y|||4|1||47.57|47.5747|1.12|0.024111948|||||
Transportation and treatment of certain wastes|Health and Human Services|Temporary Transporter vehicle registration|47-453|51.61|50||Y|2|1|2|1||52.85|52.8596|1.24|0.024026351|||||
Transportation and treatment of certain wastes|Health and Human Services|Transporter manifest forms and other forms|47-504(a)|46.45|45||Y|||6|1||47.57|47.5747|1.12|0.024111948|||||
Transportation and treatment of certain wastes|Health and Human Services|Transporter manifest report processing|47-534(a)(2)|3.61|3.5||Y|||3|1||3.69|3.6974|0.08|0.022160665|||||
Transportation and treatment of certain wastes|Health and Human Services|Transporter vehicle decal replacement|47-456(b)|25.8|25||Y|||2|1||26.42|26.4247|0.62|0.024031008|||||
Transportation and treatment of certain wastes|Health and Human Services|Transporter vehicle registration|47-453|655.51|635||Y|||2|1||671.38|671.3825|15.87|0.024210157|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Biological pretreatment service permit and registration|47-472(b)|258.07|250||Y|||1|1||264.31|264.3189|6.24|0.024179486|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Car wash drying bed generator replacement permit|47-486|25.8|25||Y|||1|1||26.42|26.4247|0.62|0.024031008|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Generator permit application - original and renewal|47-423(a)|94.97|92||Y|||1|1||97.26|97.2696|2.29|0.024112878|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Reissuing a lost generator permit or registration certificate|47-427|25.8|25||Y|||1|1||26.42|26.4247|0.62|0.024031008|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Transporter permit application (original and renewal) review|47-434|92.9|90||Y|||1|1||95.14|95.1494|2.24|0.024111948|||||
Transportation and treatment of certain wastes permit|Health and Human Services|Transporter replacement permit certificate|47-456(b)|25.8|25||Y|||1|1||26.42|26.4247|0.62|0.024031008|||||
Vital Statistics|Health and Human Services|Birth Certificates|21-15(b)|23|23|||||6|3||23|23|0|0|||||
Vital Statistics|Health and Human Services|Birth facts certificate|21-225(c)|State Fee|State Fee||N||N/A|6-copy|3||State Fee|State Fee|0|0|||||
Vital Statistics|Health and Human Services|Certified copies of records|21-225(a)|23|23||N||N/A|6-copy|3||23|23|0|0|||||
Vital Statistics|Health and Human Services|Certified copies of records - search fee|21-225(b)|23|23||N||N/A|6-copy|3||23|23|0|0|||||
Vital Statistics|Health and Human Services|Death Certificates (1st copy)/ Search Fee|21-15(b)|21|21|||||6|3||21|21|0|0|||||
Vital Statistics|Health and Human Services|Death Certificates (2nd copy of same cert.)|21-15(b)|4|4|||||6|3||4|4|0|0|||||
Vital Statistics|Health and Human Services|Passport Application Acceptance|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Vital Statistics|Health and Human Services|Passport Photo|21-15(b)|10|10|||||6|6||10|10|0|0|||||
Vital Statistics|Health and Human Services|Provision of place of burial information|21-225(d)|State Fee|State Fee||N||N/A|6-copy|3||State Fee|State Fee|0|0|||||
Vital Statistics|Health and Human Services|Same Day/Overnight Processing|21-15(b)|30|30|||||6|6||30|30|0|0|||||
Vital Statistics|Health and Human Services|Special Handling/Expedited Processing|21-15(b)|15|15|||||6|6||15|15|0|0|||||
Vital Statistics|Health and Human Services|Additional fee for issuance of certified copy of birth certificate.|21-225(f); Tex. Health & Safety Code |State Fee|State Fee||N||N/A|6-copy|3||State Fee|State Fee|0|0|||||
Vital Statistics|Health and Human Services|Additional fee for issuance of wallet-sized certification of birth.|21-225(f)|State Fee|State Fee||N||N/A|6-copy|3||State Fee|State Fee|0|0|||||
Vital Statistics|Health and Human Services|Additional fee for conducting a search for a certificate of birth.|21-225(f)|State Fee|State Fee||N||N/A|6-copy|3||State Fee|State Fee|0|0|||||
Vital Statistics|Health and Human Services|Vital records preservation|21-225(g)|1|1||N||N/A|6-copy|3||1|1|0|0|||||
Aircraft Fuel Fees|Houston Airport System|Delivery or receipt of fuel, per gallon|"09-185/
09-186"|0.06|0.06|||||6|4||0.06|0.06|0|0|||||
Aircraft Parking|Houston Airport System|Air cargo operations at IAH, with wingspan 118 feet or more, but less than 171 feet.|09-167(a)(3)|400|400|||||6-Parking|4||400|400|0|0|||||
Aircraft Parking|Houston Airport System|Air cargo operations at IAH, with wingspan 171 feet -214 ft.|09-167|550|550|||||6-Parking|4||550|550|0|0|||||
Aircraft Parking|Houston Airport System|Air cargo operations at IAH, with wingspan 79 feet or more, but less than 118 feet.|09-167(a)(2)|300|300|||||6-Parking|4||300|300|0|0|||||
Aircraft Parking|Houston Airport System|Air cargo operations at IAH, with wingspan less than 79 feet.|09-167(a)(1)|200|200|||||6-Parking|4||200|200|0|0|||||
Aircraft Parking|Houston Airport System|Air cargo operations at IAH, with wingspan214 feet or greater.|09-167|600|600|||||6-Parking|4||600|600|0|0|||||
Aircraft Parking|Houston Airport System|Aircraft parking charges - wingspan 118 or more, but less than 171 feet.|09-142|175|175|||||6-Parking|4||175|175|0|0|||||
Aircraft Parking|Houston Airport System|Aircraft parking charges - wingspan 171 or more, but  less than 214 feet.|09-142|275|275|||||6-Parking|4||275|275|0|0|||||
Aircraft Parking|Houston Airport System|Aircraft parking charges - wingspan 214 or more.|09-142|400|400|||||6-Parking|4||400|400|0|0|||||
Aircraft Parking|Houston Airport System|Aircraft parking charges - wingspan 79 feet or more, but less than 118 feet.|09-142|125|125|||||6-Parking|4||125|125|0|0|||||
Aircraft Parking|Houston Airport System|Aircraft parking charges - wingspan less than 79 feet.|09-142|100|100|||||6-Parking|4||100|100|0|0|||||
Airport Hazard Area Regulations|Houston Airport System|Variance request fee, commercial|09-782(a)(5)|900|900|||||6-Parking|4||900|900|0|0|||||
Airport Hazard Area Regulations|Houston Airport System|Variance request fee, residential|09-782(a)(5)|350|350|||||6-Parking|4||350|350|0|0|||||
Airport Hazard Area Regulations Permit|Houston Airport System|Permit application|09-754(b)|No charge|No charge|||||1|4||No charge|No charge|0|0|||||
Airport Hazard Area Regulations Permit|Houston Airport System|Permit for activities within an airport hazard area|09-758|No charge|No charge|||||1|4||No charge|No charge|0|0|||||
Airport Land Use Regulations|Houston Airport System|Variance request fee, commercial|09-393(4)|900|900|||||6-Parking|2||900|900|0|0|||||
Airport Land Use Regulations|Houston Airport System|Variance request fee, residential|09-393(4)|350|350|||||6-Parking|2||350|350|0|0|||||
Airport Land Use Regulations Permit|Houston Airport System|Permit application|09-384(a)|No charge|No charge|||||1|2||No charge|No charge|#VALUE!|#VALUE!|||||
Airport Parking|Houston Airport System|Ecopark (Economy) lot parking at IAH - Daily Covered parking [Maximum, per 24-hour period]|09-35(a)(1)b|"$7.00
including sales tax"|"$7.00
"||N||N/A|6-Parking|4||"$7.00
including sales tax"|"$7.00
including sales tax"|0|0|||||
Airport Parking|Houston Airport System|Ecopark (Economy) lot parking at IAH - Daily Uncovered parking [Maximum, per 24-hour period]|09-35(a)(1)a|"$5.00
including sales tax"|"$5.00
"||N||N/A|6-Parking|4||"$5.00
including sales tax"|"$5.00
including sales tax"|0|0|||||
Airport Parking|Houston Airport System|Ecopark 1 (economy) lot parking at HOU - Daily Uncovered parking [Maximum, per 24-hour period]|09-35(a)(4)(a)|"$8.00
"|"$8.00
"|||||6-Parking|4||"$8.00
"|"$8.00
"|0|0|||||
Airport Parking|Houston Airport System|Ecopark 2 (economy) lot parking at HOU - Daily Uncovered parking [Maximum, per 24-hour period]|09-35(a)(4)(a)|"$6.00
"|"$6.00
"|||||6-Parking|4||"$6.00
"|"$6.00
"|#VALUE!|#VALUE!|||||
Airport Parking|Houston Airport System|Executive Parking at IAH - designated space for customer|09-35(a)(3)|$7,500 / year|$7,500 / year|||||6-Parking|4||$7,500 / year|$7,500 / year|0|0|||||
Airport Parking|Houston Airport System|Garage parking  - Hourly Parking Surepark - IAH|09-35(a)(2)(a)|"0-3 hours $7.00
"|"0-3 hours $7.00
"|||||6-Parking|4||"0-3 hours $7.00
"|"0-3 hours $7.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking  - Hourly Parking Surepark - IAH|09-35(a)(2)(a)|"3-5 hours $9.00
"|"3-5 hours $9.00
"|||||6-Parking|4||"3-5 hours $9.00
"|"3-5 hours $9.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at HOU - Hourly parking|09-35(a)(5)(a)|"0-1 hour $2.00
"|"0-1 hour $2.00
"|||||6-Parking|4||"0-1 hour $2.00
"|"0-1 hour $2.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at HOU - Hourly parking|09-35(a)(5)(a)|"1-2 hours $3.00
"|"1-2 hours $3.00
"|||||6-Parking|4||"1-2 hours $3.00
"|"1-2 hours $3.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at HOU - Hourly parking|09-35(a)(5)(a)|"2-3 hours $5.00
"|"2-3 hours $5.00
"|||||6-Parking|4||"2-3 hours $5.00
"|"2-3 hours $5.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at HOU - Hourly parking|09-35(a)(5)(a)|3-5 hours $7.00 |3-5 hours $7.00 |||||6-Parking|4||3-5 hours $7.00 |3-5 hours $7.00 |0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Daily parking [Maximum, per 24-hour period]|09-35(a)(2)b|"$17.00
including sales tax"|"$17.00
"||N||N/A|6-Parking|4||"$17.00
including sales tax"|"$17.00
including sales tax"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Daily parking [Maximum, per 24-hour period] guaranteed space also known as Surepark|09-35(a)(2)(b)|"$20.00
"|"$20.00
"|||||6-Parking|4||"$20.00
"|"$20.00
"|#VALUE!|#VALUE!|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Hourly parking|09-35(a)(2)(a)|"0-1 hour $2.00
"|"0-1 hour $2.00
"|||||6-Parking|4||"0-1 hour $2.00
"|"0-1 hour $2.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Hourly parking|09-35(a)(2)(a)|"1-2 hours $3.00
"|"1-2 hours $3.00
"|||||6-Parking|4||"1-2 hours $3.00
"|"1-2 hours $3.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Hourly parking|09-35(a)(2)(a)|"2-3 hours $5.00
"|"2-3 hours $5.00
"|||||6-Parking|4||"2-3 hours $5.00
"|"2-3 hours $5.00
"|0|0|||||
Airport Parking|Houston Airport System|Garage parking, other than the economy at IAH - Hourly parking|09-35(a)(2)(a)|3-5 hours $7.00 |3-5 hours $7.00 |||||6-Parking|4||3-5 hours $7.00 |3-5 hours $7.00 |0|0|||||
Airport Parking|Houston Airport System|HOU Ecopark1 parking,  - Hourly parking |09-35(a)(5)(a)|"0-3 hours $3.00
"|"0-3 hours $3.00
"|||||6-Parking|4||"0-3 hours $3.00
"|"0-3 hours $3.00
"|0|0|||||
Airport Parking|Houston Airport System|HOU Ecopark2 parking,  - Hourly parking |09-35(a)(5)(a)|0-3 hours $2.00|0-3 hours $2.00|||||6-Parking|4||0-3 hours $2.00|0-3 hours $2.00|0|0|||||
Airport Parking|Houston Airport System|IAH Ecopark parking,  - Hourly parking |09-35(a)(2)(a)|"0-3 hours $3.00
 "|"0-3 hours $3.00
 "|||||6-Parking|4||"0-3 hours $3.00
 "|"0-3 hours $3.00
 "|0|0|||||
Airport Parking|Houston Airport System|Preferred parking  (Surepark) at IAH - annual registration/membership [maximum]|09-35(a)(3)|200|200||N||N/A|6-Parking|4||200|200|0|0|||||
Airport Parking|Houston Airport System|Preferred parking at HOU - annual registration/membership [maximum]|09-35(a)(6)|200|200||N||N/A|6-Parking|4||200|200|0|0|||||
Airport Parking|Houston Airport System|Preferred parking at HOU - refundable deposit for each access card|09-35(a)(6)|50|50||N|||6-Parking|4||50|50|0|0|||||
Airport Parking|Houston Airport System|Preferred parking at IAH - refundable deposit for each access card|09-35(a)(3)|50|50||N||N/A|6-Parking|4||50|50|0|0|||||
Airport Parking|Houston Airport System|Surface and garage parking, other than the economy at HOU - Daily parking [Maximum, per 24-hour period]|09-35(a)(5)b|23.09|23.09||N||N/A|6-Parking|4||23.09|23.09|0|0|||||
Airport Parking|Houston Airport System|Surface parking at Ellington Airport - [Maximum, per 24-hour period]|09-35(a)(7)|15|15||N||N/A|6-Parking|4||15|15|0|0|||||
Airport Parking|Houston Airport System|Valet parking services|09-35(c)|"$10.00/ 0-2hrs
$25.00/ 2-24 hrs"|"$10.00/ 0-2hrs
$25.00/ 2-24 hrs"||N||N/A|6-Parking|4||"$10.00/ 0-2hrs
$25.00/ 2-24 hrs"|"$10.00/ 0-2hrs
$25.00/ 2-24 hrs"|0|0|||||
Airport Use|Houston Airport System|Appeal to hearing officer|09-57(c)|150|150||N||N/A|6|4||150|150|0|0|||||
Airport Use|Houston Airport System|Temporary substitute vehicle|09-57(d)|30|30||N||N/A|6|4||30|30|0|0|||||
Airport Use Fees for Commercial Passenger Vehicles|Houston Airport System|Commercial Passenger Vehicles, Occasional Use, 12-24 seats - Fee per Trip|Table 9-1 #10|5|5||N||N/A|6|4||5|5|0|0|||||
